_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
1622561,22497,BP-21390,55,Lombard St,Lombard St,South,Church St,East,,13,St. Lawrence Market Neighbourhood,Ring,Existing,0,314889.598,4834658.522,-79.37492085,43.65180147,"{u'type': u'Point', u'coordinates': (-79.3749208486, 43.6518014674)}"
1622562,22498,BP-21396,317,Adelaide St E,Adelaide St E,South,Frederick St,East,,13,St. Lawrence Market Neighbourhood,Ring,Existing,0,315335.275,4834669.345,-79.36939566,43.65189271,"{u'type': u'Point', u'coordinates': (-79.369395664, 43.6518927101)}"
1622563,22499,BP-21404,135,Adelaide St E,Adelaide St E,South,Church St,East,,13,St. Lawrence Market Neighbourhood,Ring,Existing,0,314954.444,4834600.851,-79.37411804,43.65128147,"{u'type': u'Point', u'coordinates': (-79.3741180491, 43.6512814688)}"
1622564,22500,BP-21437,70,Adelaide St E,Adelaide St E,North,Spice Mill Lane,East,,13,St. Lawrence Market Neighbourhood,Ring,Existing,0,314832.98,4834580.8,-79.37562417,43.65110263,"{u'type': u'Point', u'coordinates': (-79.3756241751, 43.6511026312)}"
1622565,22501,BP-21445,105,Front St E,Front St E,South,Jarvis St,East,,13,St. Lawrence Market Neighbourhood,Ring,Existing,0,315188.974,4834391.414,-79.37121468,43.64939302,"{u'type': u'Point', u'coordinates': (-79.3712146782, 43.6493930169)}"
1622566,22502,BP-21462,107,Front St E,Front St E,South,Jarvis St,East,,13,St. Lawrence Market Neighbourhood,Ring,Existing,0,315195.227,4834394.542,-79.3711371,43.64942108,"{u'type': u'Point', u'coordinates': (-79.3711371039, 43.6494210857)}"
1622567,22503,BP-21466,173A,Front St E,Front St E,South,Sherbourne St,West,,13,St. Lawrence Market Neighbourhood,Ring,Existing,0,315423.579,4834482.473,-79.36830466,43.65020935,"{u'type': u'Point', u'coordinates': (-79.36830465, 43.6502093564)}"
1622568,22504,BP-21190,108,Kenwood Ave,Kenwood Ave,West,Maplewood Ave,North,,12,,Ring,Existing,0,310969.791,4838452.729,-79.42347064,43.68599719,"{u'type': u'Point', u'coordinates': (-79.4234706395, 43.6859971945)}"
1622569,22505,BP-21192,119,Vaughan Rd,Vaughan Rd,East,Louise Ave,East,,12,,Ring,Existing,0,311143.592,4838278.885,-79.42131689,43.6844309,"{u'type': u'Point', u'coordinates': (-79.4213168797, 43.6844309093)}"
1622570,22507,BP-21327,219,King St E,King St E,South,Frederick St,East,,13,St. Lawrence Market Neighbourhood,Ring,Existing,0,315355.74,4834569.666,-79.36914391,43.65099518,"{u'type': u'Point', u'coordinates': (-79.3691439109, 43.6509951758)}"
1622571,22510,BP-21342,58,George St,George St,West,King St E,South,,13,St. Lawrence Market Neighbourhood,Ring,Existing,0,315237.81,4834497.327,-79.37060725,43.65034569,"{u'type': u'Point', u'coordinates': (-79.3706072452, 43.6503456921)}"
1622572,22511,BP-21343,75,King St E,King St E,South,Leader Lane,East,,13,St. Lawrence Market Neighbourhood,Ring,Existing,0,314855.34,4834416.996,-79.37535003,43.64962787,"{u'type': u'Point', u'coordinates': (-79.3753500349, 43.6496278737)}"
1622573,22512,BP-21350,133,King St E,King St E,South,Church St,East,,13,St. Lawrence Market Neighbourhood,Ring,Existing,0,314998.027,4834460.463,-79.37358042,43.65001719,"{u'type': u'Point', u'coordinates': (-79.3735804141, 43.6500171926)}"
1622574,22513,BP-21374,2,Toronto St,King St E,North,Toronto St,West,,13,St. Lawrence Market Neighbourhood,Ring,Existing,0,314788.708,4834413.231,-79.3761761,43.64959488,"{u'type': u'Point', u'coordinates': (-79.3761760992, 43.6495948814)}"
1622575,22514,BP-21375,1,Toronto St,Toronto St,East,King St E,North,,13,St. Lawrence Market Neighbourhood,Ring,Existing,0,314810.797,4834424.705,-79.37590207,43.64969787,"{u'type': u'Point', u'coordinates': (-79.3759020634, 43.6496978658)}"
